Sample O'Reilly books and videos,,,,,
,,,,,
Note about the data: The prices are randomly generated and do not correspond to actual prices on Amazon or otherwise,,,,,
,,,,,
,,,,,
Title,Authors,Price,Type,Formula,Amazon Price
Fundamentals of Data Engineering,"Joe Reis, Matt Housley",$16.17,book,book  16.17,book  16.17
Fundamentals of Software Architecture,"Mark Richards, Neal Ford",$16.96,book,book  16.96,book  16.96
"Generative Deep Learning, 2nd Edition",David Foster,$33.91,book,book  33.91,book  33.91
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition",Aurélien Géron,$45.82,book,book  45.82,book  45.82
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 3rd Edition",Aurélien Géron,$24.46,book,book  24.46,book  24.46
"Head First Design Patterns, 2nd Edition","Eric Freeman, Elisabeth Robson",$12.99,book,book  12.99,book  12.99
"Head First Java, 3rd Edition","Kathy Sierra, Bert Bates, Trisha Gee",$15.17,book,book  15.17,book  15.17
"Introducing Python, 2nd Edition",Bill Lubanovic,$36.11,book,book  36.11,book  36.11
"JavaScript: The Definitive Guide, 7th Edition",David Flanagan,$48.95,book,book  48.95,book  48.95
"Kafka: The Definitive Guide, 2nd Edition","Gwen Shapira, Todd Palino, Rajini Sivaram, Krit Petty",$25.20,book,book  25.2,book  25.2
Kubernetes in Action,Marko Luksa,$30.36,book,book  30.36,book  30.36
"Kubernetes: Up and Running, 3rd Edition","Brendan Burns, Joe Beda, Kelsey Hightower, Lachlan Evenson",$21.27,book,book  21.27,book  21.27
Learning Go,Jon Bodner,$35.34,book,book  35.34,book  35.34
"Learning SQL, 3rd Edition",Alan Beaulieu,$15.98,book,book  15.98,book  15.98
Mastering API Architecture,"James Gough, Daniel Bryant, Matthew Auburn",$24.20,book,book  24.2,book  24.2
Microservices Patterns,Chris Richardson,$33.44,book,book  33.44,book  33.44
"Natural Language Processing with Transformers, Revised Edition","Lewis Tunstall, Leandro von Werra, Thomas Wolf",$42.94,book,book  42.94,book  42.94
OCP Oracle Certified Professional Java SE 17 Developer Study Guide,"Scott Selikoff, Jeanne Boyarsky",$49.37,book,book  49.37,book  49.37
"Programming Rust, 2nd Edition","Jim Blandy, Jason Orendorff, Leonora F. S. Tindall",$28.59,book,book  28.59,book  28.59
"Python Crash Course, 3rd Edition",Eric Matthes,$25.32,book,book  25.32,book  25.32
"Python for Data Analysis, 3rd Edition",Wes McKinney,$37.40,book,book  37.4,book  37.4
Python Fundamentals,Paul J. Deitel,$0.00,video,video  0,video  0
Quick Start Guide to Large Language Models: Strategies and Best Practices for using ChatGPT and Other LLMs,Sinan Ozdemir,$24.77,book,book  24.77,book  24.77
"React - The Complete Guide (Includes Hooks, React Router, and Redux) - Second Edition",Academind by Maximilian Schwarzmüller,$0.00,video,video  0,video  0
Red Hat Certified System Administrator (RHCSA) RHEL 9,Sander van Vugt,$0.00,video,video  0,video  0
Software Engineering at Google,"Titus Winters, Tom Manshreck, Hyrum Wright",$20.00,book,book  20,book  20
"Terraform: Up and Running, 3rd Edition",Yevgeniy Brikman,$28.81,book,book  28.81,book  28.81
"The Pragmatic Programmer: your journey to mastery, 2nd Edition","David Thomas, Andrew Hunt",$18.14,book,book  18.14,book  18.14
"The Rust Programming Language, 2nd Edition","Steve Klabnik, Carol Nichols",$30.08,book,book  30.08,book  30.08
The Staff Engineer's Path,Tanya Reilly,$9.59,book,book  9.59,book  9.59
What Are ChatGPT and Its Friends?,Mike Loukides,$42.71,book,book  42.71,book  42.71
