Column1,Date,ISO,Key phrases,Language,Name,Reviews,Sum of Score sentiment,Sentiment
10,2022-07-12 00:00:00,en,"nice terrace, nice experience, cycle paths, lake, foot, center, area, good stay, family, way, Roberto's apartment, mother, rental, children",English,Anne,"Roberto's apartment is extremely pleasant, spacious, bright and with a very nice terrace... The area is very quiet, a little out of the way but very close to the center and the lake on foot via paths and cycle paths. The rental is perfect for a family with children. Roberto and his mother are very nice, available and discreet...Really a very good stay and a very nice experience...",100.0%,Positive
11,2022-07-06 00:00:00,de,Ferienwohnung,German,Daniela,Wir waren sehr zufrieden mit der Ferienwohnung und haben uns außerordentlich wohl gefühlt.,100.0%,Positive
12,2022-06-19 00:00:00,de,"Fahrräder, Fall goldwert, Ausblick, Terrasse, super",German,Marie,"War alles super, die Fahrräder sind auf jeden Fall goldwert. Ausblick von der Terrasse 👍",100.0%,Positive
13,2022-06-16 00:00:00,nl,"de beschikbare oven, de enige verbetering, de vorige keren mooi schoon en netjes, verder prima appartement, magnetron, prachtige plek, balkon, luifel, ding, grandioos uitzicht, contact",Dutch,Andre,het contact met Roberto ging heel goed. het appartement was zoals de vorige keren mooi schoon en netjes. de enige verbetering zou een magnetron kunnen zijn omdat de beschikbare oven niet ons ding is. verder prima appartement op een prachtige plek met vanaf het balkon (met luifel) een grandioos uitzicht.,70.0%,Neutral
14,2022-05-28 00:00:00,it,"fa, luogo bello, piacevole canto degli uccelli, finestre aperte, grande terrazzo, montagna, uliveti, lago, appartamento, villa, posto, settimana speciale, centro, piedi, comfort",Italian,Grzegorz,"L'appartamento è pulito, molto comodo e ben arredato con ogni comfort. Anche grande terrazzo è con vista sulla montagna. C'è vicino al centro e al lago che si raggiunge a piedi. La villa è situata in un luogo bello e tranquillo circondato da uliveti. Si sente il piacevole canto degli uccelli attraverso le finestre aperte. Tutto ciò ti fa godere questo posto e ti fa sentire riposato. Abbiamo trascorso una settimana speciale che sicuramente non dimenticheremo.",63.2%,Neutral
15,2022-05-21 00:00:00,it,"Roberto, Garda, chicca esclusiva, cuore di Riva, cura, splendida terrazza, vista sulle montagne, altezza, Location, casa dei Nonni, posto meraviglioso, ospitalità",Italian,Antonio,"Complimenti davvero a Roberto per l’ospitalità e l’accoglienza. Un posto meraviglioso e tenuto con cura e davvero all’altezza degli standard proposti! Location con vista sulle montagne a 2 passi dal cuore di Riva del Garda, chicca esclusiva la splendida terrazza. Di certo sarà obbligatorio ritornare nella “casa dei Nonni” di Roberto",69.2%,Neutral
16,2022-05-19 00:00:00,en,lovely apartment,English,Julien,Everything was perfect. We can recommend this lovely apartment! 👍,100.0%,Positive
17,2022-05-15 00:00:00,de,super,German,Horst,alles super wie erhofft.,82.1%,Positive
18,2022-05-05 00:00:00,en,"Great place, great views, comfortable place, short walk, valley, Host, Riva",English,Ali,Very clean and comfortable place with great views down the valley. Host was very friendly and polite. Great place to say which is quiet but only a short walk from Riva.,99.9%,Positive
19,2022-05-02 00:00:00,en,"views, window, place, stay, Roberto's",English,Hanna,we enjoyed our stay at Roberto's and wished we could've stayed longer. the place is spotless clean and the views from each window are magnificent.,99.5%,Positive
20,2022-04-30 00:00:00,en,"Riva, Beautiful clean apartment, amazing mountain views, great stay, issues, Perfect location",English,Lucy,"Beautiful clean apartment with amazing mountain views. Check in was easy and we had a great stay with no issues. Everything you need is in the apartment. Perfect location for Riva, we will be back! recommend to everyone visiting Riva.",100.0%,Positive
21,2022-04-26 00:00:00,en,"incredible terrace, amazing town, amazing stay, Roberto's flat, Riva, great food, walks, mountain views, Garda, beautiful place",English,Genevieve,"We had the most amazing stay at Roberto's flat in Riva del Garda! A truly beautiful place with an incredible terrace - the mountain views are incredible! An amazing town with great food and walks, we loved it so much.",100.0%,Positive
22,2022-04-23 00:00:00,de,"Roberto, Familie, herzliche Gastgeber, guten Tipps, Unterstützung, Wohnung, Unterkunft",German,Frank,Roberto und seine Familie sind sehr nette und herzliche Gastgeber. Roberto hilft mit vielen guten Tipps und bietet Unterstützung an. Die Wohnung ist sehr sauber und gemütlich eingerichtet. Es lohnt sich diese Unterkunft zu buchen. Wir kommen gern wieder.,75.6%,Neutral
23,2022-04-18 00:00:00,de,"Roberto, fast, mal, schöner Aufenthalt, nächste Reise, Hause, Tipps, Gegend, Wohnung",German,Beatrice,"Wir waren nun schon das Dritte mal bei Roberto, es ist fast wie nach Hause kommen :) Es war wie immer ein sehr schöner Aufenthalt. Roberto hat uns viele Tipps gegeben und uns mehr über die Gegend erzählt. Die Wohnung ist sehr sauber und man fühlt sich einfach wohl. Die nächste Reise ist schon gebucht! ;)",67.9%,Neutral
24,2022-04-14 00:00:00,en,"cozy apartment, light, green location, month old baby, Good possibilities, cycling, garden, Unique atmosphere",English,Niklas,"Beautiful, light, clean and cozy apartment with a peaceful and green location. Unique atmosphere! Good possibilities for cycling. We were here with a 10-month old baby and he loved the garden as well as we did!",100.0%,Positive
25,2022-04-10 00:00:00,de,"Top, tolle Unterkunft",German,Armin,"Alles Top, tolle Unterkunft!",71.7%,Neutral
26,2022-04-07 00:00:00,de,"super Spielplatz, super großem Balkon, kleineren Kindern, schöne Wohnung, möglichen Aktivitäten, Kleinkindbereich, Familien, nördlichen Gardaseeufer, Ausgangspunkt, Minuten, schönes Bad, Parkplatz, Empfehlungswert, Internet, schnell, Longa, Ecke",German,Stefan,"Sehr schöne Wohnung mit super großem Balkon mit tollem Ausblick. Küche ist gut ausgestattet (einzig auf eine Spülmaschine muss man verzichten), sehr schönes Bad, Parkplatz sehr nahe und über die Via Longa auch nur 18 Minuten zu Fuß zum See. Empfehlungswert besonders auch für Familien mit kleineren Kindern, ein super Spielplatz mit Kleinkindbereich ist direkt um die Ecke. Internet war schnell und stabil. Definitiv empfehlenswert und ein guter Ausgangspunkt für alle möglichen Aktivitäten am nördlichen Gardaseeufer!",63.0%,Neutral
27,2021-10-26 00:00:00,de,"Lage, Top, Apartment, Empfehlen",German,Maxim,Einfach Wunderschön. Die Lage ist Top. Apartment Wunderschön. Nur zum Empfehlen.,100.0%,Positive
28,2021-10-23 00:00:00,de,"familiäre Atmosphäre, Nähe",German,Dirk,Wir haben uns sehr wohl gefühlt. Es hatte schon fast eine etwas familiäre Atmosphäre ohne zu große Nähe. Wir kommen gerne wieder.,95.5%,Positive
29,2021-10-16 00:00:00,de,"Terasse, großzügiges Appartment, Gastgeber, Airbnb, guten Tipps, Aufenthalt, zuhause bleiben, Roberto, reisende, Ausstattung",German,Matthias,"Unbedingt zu empfehlen. Sehr schönes, großzügiges Appartment mit einer großen Terasse und guter Ausstattung. Roberto ist der Gastgeber, den sich jeder Airbnb-reisende wünscht, interessiert, freundlich, kommunikativ, mit sehr guten Tipps für den Aufenthalt. Wer sich hier nicht wohlfühlt, sollte lieber zuhause bleiben!",73.3%,Neutral
30,2021-10-08 00:00:00,en,"lake, great location, Nice central location, walking distance, northern portion",English,Derek,A great location to explore the northern portion of the lake. Nice central location and walking distance to lake. Spacious and clean. Would definitely recommend,100.0%,Positive
31,2021-10-05 00:00:00,en,"big terrace, Garda, big advantage, big pleasure, equipped kitchen, bath, antique furniture, birds, nice view, green area, open person, trees, sunset, minutes, Roberto, Littler paradise, apartment",English,Ekaterina,"Littler paradise on Garda. The apartment located in 15 minutes from Garda and that’s a big advantage. Very quiet, green area, you can enjoy birds singing, sunset on terrace, trees in the garden. Apparent is spacious, very clean, with a modern and antique furniture, well equipped kitchen and bath, big terrace with a nice view. Roberto is a very positive, helpful, open person. It was a big pleasure to stay here.",100.0%,Positive
32,2021-09-28 00:00:00,en,"Super host, super place",English,Charly,"Super host, super place, super clean.",98.7%,Positive
33,2021-09-25 00:00:00,en,"Lake Garda, Robertos apartment, nights, balcony, lovely view, minute walk, light, kitchen, cooking, loungers, stay",English,Kate,"We enjoyed two nights at Robertos apartment at Lake Garda. The apartment was light, spotlessly clean and with a lovely view and balcony (equipped with sun loungers). It is located a 20 minute walk from the Lake. The kitchen has everything you need for cooking. We loved our stay here and hope to be back!",99.6%,Positive
34,2021-09-23 00:00:00,en,"apartment, big terrace, stunning view, check-in, walking, sister, Roberto, city centre, distance, Communication, mountains, night, highlight, lake, hiking, kitchen",English,Julia,"The apartment is very spacious and flooded with light. The kitchen contains everything you need and the highlight of the apartment is for sure the big terrace with a stunning view of the mountains. You need about 20 min to the lake and 30 min to the city centre by walking but due to the distance, it is completely quiet at night and the apartment is perfectly located for some hiking. Communication with Roberto and the check-in with his sister was easy as well. Highly recommend :)",100.0%,Positive
35,2021-09-21 00:00:00,it,"Roberto, eco da volta",Italian,Franco,È stata la mia d’eco da volta da Roberto… sempre tutto perfetto!,95.0%,Positive
36,2021-09-17 00:00:00,de,"Roberto, Terrasse, Ausstattung der Wohnung, top Restaurants, elektrisch einfahrbares Sonnensegel, direkter Umgebung, Badezimmer, Lago, runden, ruhige Lage, Waschmaschine, Familie, wunderbare Gastgeber, wunderbares Ferienziel, sprichwörtliche Hingucker, wenigen Minuten, Räder, geräumige Appartment, Gardasee, Mal, Neu",German,Stefan,"Das geräumige Appartment von Roberto habe ich nun bereits zum zweiten Mal gebucht. Die Terrasse mit dem tollen Ausblick bleibt weiterhin der sprichwörtliche Hingucker. Die Ausstattung der Wohnung macht entspannte Tage am Gardasee möglich. Neu ist seit diesem Jahr eine kleine Waschmaschine im Badezimmer und ein elektrisch einfahrbares Sonnensegel auf der Terrasse. Die ruhige Lage, einige top Restaurants in direkter Umgebung und die beiden Räder, mit denen man bequem in wenigen Minuten runter an den Lago radeln kann, runden die Wohnung als wunderbares Ferienziel ab. Roberto und seine Familie sind wunderbare Gastgeber, stets erreichbar und wir können hoffentlich bald wieder einmal kommen.",59.8%,Negative
38,2021-09-11 00:00:00,en,"terrace, Amazing view, great experience, Roverto",English,Petra,"Overall great experience. Roverto was lovely. Amazing view from the terrace, will definetly be back!",99.9%,Positive
39,2021-09-08 00:00:00,en,"Greate apartment, fast contact, Roberto, Everyting, photos, definitley, day, Recomend",English,Andrzej,Greate apartment. Everyting as it Is on photos or even better! Quick and fast contact with Roberto! Recomend this apartment to everyone. We will definitley back some day!,100.0%,Positive
40,2021-09-06 00:00:00,en,"Roberto, great host, place",English,Beatrice,"Again, everything was perfect! Roberto is a great host- we hope to be at his place again soon :)",100.0%,Positive
41,2021-09-03 00:00:00,fr,"super hôte, Super appartement, adresses des restaurants, calme tres propres, commodités Roberto, top",French,Lucie,"Super appartement, au calme tres propres refait à neuf avec tous les commodités Roberto est super hôte Les adresses des restaurants sont top",93.5%,Positive
42,2021-08-10 00:00:00,de,"Apartment, Ausstattung, Sauberkeit, Kommunikation, Lage, Vermieter, Roberto, Mal, Bewertungen",German,Anna,"Wir waren zum dritten Mal im Apartment von Roberto. Da wir immer wieder kommen u d schon zwei Bewertungen geschrieben hatten, fasse ich mich kurz. Wir empfehlen dieses Apartment zu 100% Wir waren immer super zufrieden mit der Lage, der Sauberkeit, der Ausstattung und der Kommunikation mit dem Vermieter. :))",70.0%,Neutral
43,2021-07-28 00:00:00,it,"Accoglienza ottima, super disponibili, montagne, Appartamento",Italian,Donatella,Appartamento molto luminoso e ben attrezzato con una fantastica vista delle montagne. Accoglienza ottima e super disponibili. Consigliato.,100.0%,Positive
44,2021-07-25 00:00:00,en,"location, Roberto, family behavior, s Place, questions, great spots, concerns",English,Finn,"Roberto‘s Place is much more beautiful than we expected. He always tried to be there for our questions and named us some great spots to visit. The location was clean, modern and well equipped. There was nothing missing around the place. Roberto and his family surprised us with their open minded, always friendly and family behavior. We would return to this location without any concerns. Thank you for everything!",100.0%,Positive
45,2021-07-18 00:00:00,en,"trip, weekend, highlight, great playground, big city, corner, small kids, wonderful place, Roberto’s wife, magnificent terrace, chance",English,Andrey,We were happy to escape from the big city and spend a weekend at this wonderful place. By a chance we would stay here again and maybe longer to enjoy the magnificent terrace. And for our small kids the highlight of the trip was a great playground just around the corner which was kindly suggested by Roberto’s wife.,99.7%,Positive
46,2021-07-16 00:00:00,de,"Eisdiele, Ufer, wunderbaren Blick, nächsten Supermarkt, umliegenden Berge, Frau Federica, Roberto, Terrasse, Gradasees, relativ neu, kostenlose Parkplatz, Wohnung, Unterkunft",German,Laura,"Die Unterkunft ist sehr ruhig gelegen. Man benötigt etwa 20min zu Fuß zum nächsten Supermarkt/Eisdiele und zum Ufer des Gradasees. Der kostenlose Parkplatz befindet sich gleich ums Eck. Die Wohnung war sehr sauber und wirkte relativ neu renoviert. Von der großen Terrasse hat man einen wunderbaren Blick in die umliegenden Berge. Roberto und seine Frau Federica sind sehr freundlich, hilfsbereit und zuvorkommend.",65.9%,Neutral
47,2021-07-09 00:00:00,de,"Super Unterkunft, ausgezeichnete Gastgeber, Fahrräder, Ort",German,Fabian,Super Unterkunft und ausgezeichnete Gastgeber. Auch die Fahrräder vor Ort waren super! Absolut zu empfehlen.,100.0%,Positive
48,2021-07-04 00:00:00,en,"Great communication, Great stay, problems, host, check-in, apartment, kind of group, check-out, town",English,Leon,I can recommend this apartment for every kind of group. Nicely located and not too far from town. Great communication with the host and no problems with check-in nor check-out. Great stay! 👍,100.0%,Positive
49,2021-06-29 00:00:00,it,"realtà, appartamento Luminoso, rari casi, aspettative",Italian,Franco,"Uno dei rari casi in cui la realtà ha ecceduto le aspettative. Successo meritato per un appartamento Luminoso, accogliente e distensivo.",77.7%,Neutral
50,2021-06-27 00:00:00,it,"bellissima casa, padrone di casa premuroso, ritornero",Italian,Lucia,bellissima casa e il padrone di casa premuroso e gentilissimo ci ritornero,100.0%,Positive
51,2021-06-25 00:00:00,de,"Tolles Appartement, großartiger Terrasse, Fahrrad, Altstadt",German,Michael,Tolles Appartement mit großartiger Terrasse. Fahrrad für in die Altstadt ist sinnvoll.,86.3%,Positive
52,2021-06-20 00:00:00,it,"Host, ottima permanenza",Italian,Marco,Host molto molto disponibile…ottima permanenza 😊,95.2%,Positive
53,2021-06-17 00:00:00,en,"Nice apartment, good communication",English,Radovan,"Nice apartment, good communication.",94.2%,Positive
54,2021-06-13 00:00:00,de,"Robertos Apartment, Lage, Olivenhains, Begrüßung, Aussicht, Traum",German,Beatrice,"Wir hatten eine tolle Zeit in Robertos Apartment: die Begrüßung war herzlich, Roberto immer hilfsbereit und erreichbar und das Apartment - insbesondere die Aussicht und die Lage inmitten des Olivenhains - ein Traum! Insgesamt haben wir uns sehr wohl gefühlt und kommen sehr gerne wieder :)",72.2%,Neutral
55,2021-06-10 00:00:00,de,"Roberto, super, umliegenden Berge, Ruhe, Insider, Tipps, Ausflüge, Ausblick, Vogelgezwitscher, frisch, Kommunikation, Frühstück, Abendessen, Innenstadt, Riva, nächsten Besuch, Wohnung, Familie, Ankunft, Küche, Sonnenterrasse, See, Fragen",German,Paul-Gerhard,"Bei der Ankunft wurden wir sehr herzlich empfangen. Die Wohnung ist größer als wir erwartet haben, frisch renoviert, sehr sauber und super ausgestattet. Auch in der Küche ist alles vorhanden was man braucht. Besonders hervorzuheben ist auch die große Sonnenterrasse. Wir haben Frühstück und Abendessen hier sehr genossen, mit dem Ausblick auf die umliegenden Berge, der Ruhe und dem Vogelgezwitscher. Zum See sind es ca. 20min, in die Innenstadt von Riva ca. 30min zu Fuß. Roberto und seine Familie sind sehr gastfreundlich und haben uns auch viele Insider-Tipps für Ausflüge etc. gegeben. Die Kommunikation mit Roberto ist super, er meldet sich sofort bei Fragen etc. und Wir freuen und schon auf unseren nächsten Besuch.",58.6%,Negative
56,2021-06-05 00:00:00,de,"Roberto, letzte mal, Monte Brione, Sonne, abends, Lage, Auto, Wohnung, Terrasse, Apartament, Stadt, Kommunikation, Danke",German,Henryka,Sind jetzt das zweite mal bei Roberto gewesen und sicher nicht das letzte mal! Wir fühlen uns im Apartament sehr wohl. Die Lage ist direkt am Monte Brione und mit dem Auto ist man in 5 min. in der Stadt. Die Wohnung ist sehr sauber und die Sonne scheint bis abends auf die große Terrasse. Die Kommunikation ist sehr gut und sehr schnell. Roberto ist sehr hilfsbereit! Danke und bis bald!,63.5%,Neutral
57,2021-05-16 00:00:00,it,"perchè, comodità della cucina, hotel stellato, plus, pari, zona tranquilla, sulle montagne trentine, principali ciclabili, Garda, centro di Riva, famiglia, appartamento, terrazza, Pulizia",Italian,Stefania,"L'appartamento è ben posizionato rispetto alle principali ciclabili del Garda, a neanche un km dal centro di Riva, ottimo perchè in zona tranquilla e silenziosa. Pulizia ottima al pari di un hotel stellato, comodità della cucina e del letto. La terrazza è un plus che regala sensazionali viste sulle montagne trentine. Roberto e la sua famiglia sono stati gentilissimi! Sicuramente torneremo.",66.1%,Neutral
58,2021-01-18 00:00:00,it,"Appartamento, Accoglienza squisita, gusto",Italian,Alessandro,Assolutamente perfetto... Accoglienza squisita... Appartamento sapientemente ristrutturato ed arredato con gusto... Da consigliare,100.0%,Positive
59,2021-01-12 00:00:00,en,"nice stay, Roberto",English,Leonie,We had a very nice stay with Roberto.,91.6%,Positive
60,2020-10-25 00:00:00,de,"super Heizung, top, Hell",German,Anna,"Hell, sauber und auch für kühlere Tage, durch eine super Heizung, top geeignet",100.0%,Positive
61,2020-10-11 00:00:00,en,"Appartement, Communication",English,Tanja,The Appartement was really nice and clean! Very bright! Communication was easy! Very positive,100.0%,Positive
62,2020-10-08 00:00:00,pl,"ramach wynajmu dostęp, rowerów, Piękne widoki, góry, ogromnego tarasu, Świetna lokalizacja, Wspaniałe miejsce, wypoczynku, Mieszkanie, pobyt",Polish,Magdalena,"Wspaniałe miejsce do wypoczynku. Piękne widoki na góry z ogromnego tarasu. Mieszkanie bardzo czyste i zadbane. Świetna lokalizacja, do tego w ramach wynajmu dostęp do rowerów bardzo ułatwił nasz pobyt. Chętnie bym tam wróciła, lub zamieszkała na stałe. Polecam serdecznie! :)",73.8%,Neutral
63,2020-10-03 00:00:00,de,"Unterkunft, Danke, Roberto, Nonna, Gastgeber, modern",German,Barbara,"Diese Unterkunft ist jedenfalls zu empfehlen! Die Gastgeber sind äußerst freundlich und zuvorkommend! Die Unterkunft ist sehr schön und sauber, modern und gemütlich! Jederzeit wieder! Danke an Roberto und Nonna",79.4%,Neutral
64,2020-09-29 00:00:00,de,"Robertos Wohnung, See, Riva del Garda Zentrum, größeren Einkaufszentrum, ideale Lage, wunderbare Sonnenterasse, längerem Aufenthalt, prima, super, Entspannung",German,Manfred,"Robertos Wohnung ist prima ausgestattet, gepflegt und super-sauber. Es fehlt nichts. Die wunderbare Sonnenterasse lädt zu längerem Aufenthalt ein. Entspannung pur ist vorprogrammiert. Nicht weit von See und Riva del Garda Zentrum entfernt, außerdem ca. 1 km bis zu einem größeren Einkaufszentrum hat die Wohnung eine ideale Lage, ist außerdem sehr ruhig gelegen.",68.9%,Neutral
65,2020-09-08 00:00:00,de,"Riva, nutzen, Garten, umgeben, Olivenbaum, Plantagen, wenigen Minuten, älteren Rädern, See, Wohnung, Norden, perfekter Ort, Lage des Hauses, Terrasse, Abende, Ausflüge, Altstadt",German,Stefan,"Die große Wohnung liegt wunderschön im Norden von Riva. Wir haben unsere Tage dort sehr genossen. Mit den beiden älteren Rädern, die wir netterweise nutzen durften, waren wir in wenigen Minuten am See. Auch die Altstadt von Riva war so schnell zu erreichen. Die Lage des Hauses ist wunderbar, ruhig, mit einem großen Garten und umgeben von Olivenbaum-Plantagen. Für uns war es ein perfekter Ort, um von dort unsere Ausflüge zu starten. Und wir haben es geliebt, auf der großen Terrasse zu frühstücken und unsere Abende zu verbringen.",61.4%,Neutral
66,2020-09-03 00:00:00,de,"Wohnung, Federica, abseits, Roberto, Riva ca, touristischen Massen, touristischen Trubels, hektischen Altstadt, authentische Küche, Allessandro, leckeren Weinen, beste Restaurant, Meinung, ruhigen Viertel, fairen Preisen, Haus, Parkplatz, schöne Terrasse, Eck liegende Trattoria, Tür, Fahrrad, Lebensmittelladen, tolle Gastgeber, Stadträder, Brötchen, Getränke, Wurfweite, Minuten, Garten, schneller, Aufenthalt, Ruhe",German,Martin,"Roberto und Federica sind tolle Gastgeber. Wir haben den Aufenthalt in ihrer Wohnung sehr genossen - schöne Terrasse, großes Haus, Parkplatz direkt vor der Tür, großer Garten. Die Wohnung befindet sich in einem ruhigen Viertel, abseits der touristischen Massen. Wir haben die Ruhe genossen. An den See braucht man zu Fuß ca. 17 Minuten, in die Altstadt von Riva ca 25. Mit dem Fahrrad geht es erheblich schneller. Federica hat uns sogar zwei Stadträder geliehen ... in Wurfweite der Wohnung gibt es einen kleinen Lebensmittelladen, der Brötchen und Getränke führt. Die ebenfalls ums Eck liegende Trattoria d‘Allessandro ist unserer Meinung das beste Restaurant in Riva - ehrliche und authentische Küche mit leckeren Weinen zu fairen Preisen. Ganz abseits des touristischen Trubels in der hektischen Altstadt. Alles in allem waren wir rundum happy bei Federica und Roberto - wir kommen bestimmt wieder! Arrivederci :)",57.1%,Negative
67,2020-08-31 00:00:00,de,"Terasse, tolle Lage, Familie, Spaziergänge, Unterkunft, super, Highlight, Roberto, Kommunikation, Hund",German,Henryka,Wir haben uns bei Roberto und seiner Familie sehr wohl gefühlt und die Kommunikation war problemlos. Die Unterkunft ist super sauber und komfortable. Unser Highlight war die Terasse und die tolle Lage. Mit dem Hund haben wir schöne Spaziergänge in der Umgebung gemacht. Wir kommen gerne wieder :),70.8%,Neutral
68,2020-08-17 00:00:00,en,"apartment, Roberto, city center of Riva, restaurants, terrace, wife, great hosts, quiet area, lake, breakfast, dinner, question",English,Lavinia,"We loved it! The apartment is nice and the terrace is beautiful. We really enjoyed having breakfast and dinner outside. It’s a 10-20min walk from the apartment to the city center of Riva, which is perfect because you‘re living in a quiet area but still close to the restaurants and the lake. Roberto and his wife were great hosts! Whenever we had a question, Roberto answered immediately and helped us. 10 out of 10 would recommend :)",100.0%,Positive
69,2020-08-14 00:00:00,en,"nice restaurants, beautiful places, Airconditioning, roberto, stay, appartement, location",English,Sahrone,The stay was so great! Airconditioning seemed broken but roberto literally came immediately to help out and fix it. So great!! The appartement was really nice and we LOVED the location! So many nice restaurants and beautiful places near it.,99.8%,Positive
70,2020-08-08 00:00:00,de,"toller Terrasse, tolle Garten, wunderschönen Haus, ca, Tomaten, unseren Aufenthalt, Roberto, Spaziergang, See, Zitronen bedienen, Herzstück, modern, Altstadt, Wohnung, Ausstattung, Lage",German,Eva,"Wir haben unseren Aufenthalt bei Roberto sehr genossen. Die Wohnung ist wie beschrieben in einem wunderschönen Haus mit Garten und toller Terrasse gelegen. Alles war sauber, modern und geschmackvoll gestaltet. Herzstück ist die Terrasse und der tolle Garten (wir durften uns an Tomaten und Zitronen bedienen). Gute Ausstattung. Die Lage ist ruhig, zu Fuß einen etwas weiteren Spaziergang vom See (ca 17min) und Altstadt (35min) entfernt. Wir wurden wieder buchen :)",63.7%,Neutral
