,Miss Vickie's Potato Chip - Sea Salt & Vinega,SunChips Multigrain - Original,Chesters Fries Flaming hot,Nutri Grain Apple Cinnamon,CheezIt - Original,Takis FUGEO mini,Sunkist Soda - Orange,SunChips Multigrain - Salsa,Pop Corners - Spicy Queso,Ruffles Baked  - Cheddar & Sour Cream,Pure Organic Pineapple Passionfruit,Doritos Cool Ranch,Pop Corners - Kettle Corn,Doritos Famin Hot Nacho,CheezIt - White Cheddar,Mini Chips Ahoy,Hersheys Milk Chocolate,Stretch Island Fruit Leathers Snacks - Variet,Snapple Lemonade - black berry,Snapple Tea - Peach,Pure Organic Fruit Bar - Strawberry Banana,Cheetos - Fleming Hot Crunchy,Cheetos Baked - Flaming Hot,Cheetos - Crunchy,Quaker Apple Cinnamon Rice Crisps,Nature's Bakery Fig Bar - Blueberry,SunChips Multigrain - French Onion,Lays - Classic,Monster Energy Original,Skinny Pop Popcorn,Jack Links Beef Steak Original,Quaker Caramel Rice Crisps,Snapple Lemonade - watermelon,Pop Corners - Sea Salt,Coca Cola - Zero Sugar,Newtons Fig Bar,Jacks Links Bar Beef Strip,Lays - Barbecue,Nutter Butter Bites,Good Health Veggie Stix - Zesty Ranch,Funyuns - Flaming Hot,Popchips Potato - Barbeque,Pure Organic Fruit Bar - Raspberry Lemonade,Goldfish Baked - Cheddar,Snapple Tea - Lemon,Quaker ButterMilk Ranch Rice Crisps,Miss Vickie's Potato Chip - Lime & Cracked Pe,Cheetos Puffs,Oreo Single Server 6 ct,KitKat - Crisp Wafers,Quaker Cheddar Rice Crisps,CheezIt - Double Cheese,Munchies Snack mix Flaming Hot,Red Bull - Original,Snapple Lemonade - pineapple,Cheetos Flaming Hot Limon Crunchy,Miss Vickie's Potato Chip - Jalapeno,Fritos - Original,Pure Organic Fruit Bar - Pineapple Passion Fr,SunChips Multigrain - Harvest Cheddar,Cheetos Cheddar Jalapeno,Spindrift - Sparkling Water  Lime,Pop Corners - White Cheddar,Chum Fruit Bites - Mango/Strawberry,Cheetos Baked - Crunchy Cheese,Snapple Diet Tea - Peach Tea,Snapple Diet Tea - Lemon,Good Health Veggie Stix - Sea Salt,Nature's Bakery Fig Bar - Raspberry,Doritos Nacho Cheese,Takis - Hot Chilli Pepper & Lime,Miss Vickie's Potato Chip - Smokehouse BBQ,Snapple Tea - Raspberry,Oreo Mini,Ritz Bits Cheese,Coca Cola - Regular
Pure Organic Pineapple Passionfruit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,1,0,2,0
Doritos Cool Ranch,0,0,4,4,1,1,10,1,1,5,0,0,0,4,0,0,0,1,0,6,0,4,1,6,0,5,1,10,17,0,3,0,0,1,5,1,0,2,1,2,6,0,0,0,6,0,0,2,0,11,0,0,0,8,0,6,0,3,0,1,2,0,0,0,1,1,1,0,7,9,0,0,6,0,0,6
Pop Corners - Kettle Corn,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,4,0,0,3,0,2,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0
Doritos Famin Hot Nacho,0,5,3,0,1,1,23,5,0,7,0,4,0,0,0,4,4,1,1,12,4,9,5,6,0,8,3,8,33,2,1,0,1,0,7,1,0,0,0,0,9,3,3,0,6,0,0,0,1,9,0,0,1,22,1,16,0,4,0,12,0,0,0,1,8,2,1,2,13,6,0,0,11,3,4,19
CheezIt - White Cheddar,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
Mini Chips Ahoy,2,0,4,1,0,3,9,1,0,0,1,0,0,4,0,0,0,1,0,1,0,2,4,0,0,3,1,3,14,0,3,0,0,0,8,2,2,0,0,0,3,2,1,0,1,0,1,2,2,8,0,0,0,16,0,8,3,1,0,1,0,0,0,1,0,4,5,4,3,0,1,2,4,4,3,4
Hersheys Milk Chocolate,0,2,2,0,0,1,4,1,0,1,0,0,0,4,1,0,0,0,0,2,0,2,1,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,0,0,0,4,1,0,0,3,1,1,3
Stretch Island Fruit Leathers Snacks - Variet,0,0,0,3,0,1,5,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,6,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,4,0,1,0,0,1,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0
Snapple Lemonade - black berry,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2
Snapple Tea - Peach,0,2,8,4,0,3,26,3,0,2,0,6,0,12,1,1,2,0,0,0,5,14,1,5,0,11,3,12,36,0,3,0,0,0,0,0,0,0,0,0,14,0,2,4,17,0,0,3,0,12,0,3,0,33,0,12,0,6,0,11,5,0,0,0,6,0,0,0,17,8,0,0,22,6,4,28
Pure Organic Fruit Bar - Strawberry Banana,0,2,1,0,0,1,6,1,0,0,1,0,0,4,0,0,0,0,0,5,0,5,1,1,0,4,1,3,8,1,2,0,0,0,0,0,1,0,2,1,3,0,2,0,1,0,2,1,0,4,0,1,0,8,0,6,0,2,0,1,0,1,0,0,5,0,0,0,5,2,0,1,5,2,2,5
Cheetos - Fleming Hot Crunchy,0,1,14,2,1,7,36,3,2,1,0,4,2,9,2,2,2,1,2,14,5,0,1,8,3,15,2,11,54,3,7,4,2,0,23,4,3,2,3,4,17,1,1,2,11,1,0,5,5,31,1,3,3,33,3,21,0,10,1,7,11,1,1,2,7,6,7,1,19,7,0,0,18,5,9,22
Cheetos Baked - Flaming Hot,0,2,4,0,0,3,6,3,0,1,0,1,0,5,0,4,1,0,0,1,1,1,0,0,0,7,3,1,14,0,1,0,0,0,3,1,1,0,0,0,3,1,0,3,3,0,1,0,0,3,0,0,0,9,0,5,3,0,0,5,1,0,0,1,2,2,0,1,10,2,0,0,2,1,1,8
Cheetos - Crunchy,0,1,5,0,1,0,7,8,0,4,0,6,0,6,0,0,1,0,3,5,1,8,0,0,0,7,4,3,15,0,1,0,3,0,0,2,1,0,1,1,5,0,0,0,5,0,0,0,0,15,0,0,1,11,4,3,0,4,0,8,0,0,0,0,0,0,0,0,10,10,0,0,4,1,1,10
Quaker Apple Cinnamon Rice Crisps,0,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,3,0,0,2,0,0,3,2,2,0,0,1,1,0,0,0,0,1,0,1,0,2,1,0,0,2,0,2,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
Nature's Bakery Fig Bar - Blueberry,0,2,4,2,0,6,19,6,0,2,0,5,0,8,2,3,0,0,2,11,4,15,7,7,0,0,2,12,33,0,2,0,1,0,3,0,0,2,0,0,12,1,3,3,14,0,0,2,0,16,0,3,2,23,4,14,0,4,1,7,3,0,0,0,6,1,1,0,27,10,0,0,10,2,0,24
SunChips Multigrain - French Onion,0,2,3,0,1,0,7,4,0,0,0,1,0,3,0,1,1,0,0,3,1,2,3,4,0,2,0,1,9,0,0,0,0,0,4,0,1,0,1,0,3,1,0,0,1,0,0,0,0,6,0,0,0,8,0,4,0,0,0,5,0,0,0,0,0,0,0,0,5,1,0,0,2,2,1,5
Lays - Classic,0,0,5,7,1,5,31,1,1,5,0,10,1,8,2,3,2,1,0,12,3,11,1,3,1,12,1,0,41,0,1,1,0,2,14,2,0,2,1,1,19,0,1,1,13,0,0,11,0,17,0,1,2,26,0,13,0,6,0,5,11,0,0,0,6,3,6,0,15,9,0,0,10,5,0,21
Monster Energy Original,2,9,43,16,4,19,114,12,5,12,1,17,4,33,1,14,5,6,4,36,8,54,14,15,3,33,9,41,0,10,15,3,3,4,73,8,8,0,6,9,47,6,3,4,25,4,1,18,11,75,1,4,7,105,5,55,3,16,0,19,22,0,1,4,10,25,24,10,43,20,0,2,51,10,14,65
Skinny Pop Popcorn,0,0,3,0,3,1,8,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,10,0,2,0,0,0,9,2,0,0,3,3,3,0,0,0,0,0,0,0,6,1,0,0,0,4,0,6,0,2,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,3,0
Jack Links Beef Steak Original,0,1,4,0,1,3,8,0,0,1,1,3,0,1,0,3,0,1,0,3,2,7,1,1,0,2,0,1,15,2,0,0,0,0,8,2,2,0,2,1,2,2,0,0,1,0,0,0,2,11,0,0,1,12,0,6,1,1,0,0,0,0,0,0,0,6,1,4,3,3,0,1,4,0,1,4
Quaker Caramel Rice Crisps,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,3,0,0,0,0,1,3,2,1,0,0,0,1,0,0,0,0,1,0,1,0,4,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0
Snapple Lemonade - watermelon,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,3,1,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2
Pop Corners - Sea Salt,0,0,0,4,0,0,5,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,4,2,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,0,4,0,3,0,2,0,0,3,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0
Coca Cola - Zero Sugar,1,3,23,12,3,7,54,0,3,0,0,5,3,7,0,8,0,4,0,0,0,23,3,0,3,3,4,14,73,9,8,3,0,4,0,6,6,0,4,8,22,2,0,0,0,4,1,11,10,40,1,0,4,45,0,28,4,9,0,0,7,0,1,4,0,18,16,7,3,0,0,1,13,5,11,0
Newtons Fig Bar,1,0,1,3,2,0,5,0,2,0,2,1,1,1,0,2,0,1,0,0,0,4,1,2,2,0,0,2,8,2,2,2,0,2,6,0,3,0,1,2,1,0,0,0,0,1,0,1,4,8,1,0,0,2,0,4,0,3,0,0,2,0,0,1,0,3,4,1,0,2,0,1,3,0,1,0
Jacks Links Bar Beef Strip,0,1,1,1,0,2,2,0,1,0,1,0,0,0,0,2,0,1,0,0,1,3,1,1,2,0,1,0,8,0,2,1,0,0,6,3,0,0,2,0,1,1,0,0,0,1,1,0,0,7,1,0,0,6,0,2,1,0,0,0,0,1,1,1,0,2,2,3,0,1,0,1,1,1,2,0
Lays - Barbecue,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0
Nutter Butter Bites,0,0,1,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,1,6,3,2,0,0,0,4,1,2,0,0,2,1,1,0,0,0,0,0,0,2,3,0,0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0
Good Health Veggie Stix - Zesty Ranch,0,0,2,2,1,0,9,2,2,0,0,2,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,1,9,3,1,0,0,1,8,2,0,0,2,0,3,0,0,0,0,1,0,1,3,4,0,0,0,3,0,3,0,2,0,2,1,0,0,2,0,2,1,0,0,0,0,0,3,0,0,0
Funyuns - Flaming Hot,0,4,11,8,1,2,43,4,1,1,0,6,1,9,0,3,1,0,3,14,3,17,3,5,1,12,3,19,47,3,2,1,2,1,22,1,1,0,1,3,0,0,1,1,7,1,0,14,2,28,0,1,2,38,3,15,0,12,0,6,10,0,0,0,6,4,6,0,16,9,0,0,15,4,2,27
Popchips Potato - Barbeque,0,0,1,0,0,1,5,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,1,0,0,1,1,0,6,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,3
Pure Organic Fruit Bar - Raspberry Lemonade,0,1,0,0,0,1,1,1,0,0,0,0,0,3,0,1,0,0,0,2,2,1,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,0,1
Goldfish Baked - Cheddar,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,4,0,2,3,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,3,0,3,0,0,0,2,1,0,0,0,1,0,0,0,4,1,0,0,2,0,0,4
Snapple Tea - Lemon,0,3,3,4,0,7,10,2,0,6,0,6,0,6,1,1,1,0,0,17,1,11,3,5,0,14,1,13,25,0,1,0,0,0,0,0,0,3,0,0,7,1,0,1,0,0,0,3,0,12,0,2,0,13,0,11,0,2,0,2,4,0,0,0,1,0,0,0,18,8,0,0,11,1,0,13
Quaker ButterMilk Ranch Rice Crisps,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
Miss Vickie's Potato Chip - Lime & Cracked Pe,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,3,0
Cheetos Puffs,0,0,9,6,0,2,18,0,1,0,0,2,1,0,0,2,0,1,0,3,1,5,0,0,1,2,0,11,18,0,0,1,0,0,11,1,0,0,0,1,14,0,0,1,3,0,0,0,0,12,0,3,1,13,0,8,0,4,0,0,5,0,0,0,0,3,3,0,5,0,0,0,8,4,1,11
Oreo Single Server 6 ct,1,0,5,0,3,1,9,0,0,0,1,0,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,11,6,2,0,0,0,10,4,0,0,2,3,2,1,0,0,0,0,0,0,0,1,0,0,1,5,0,4,0,3,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,2,0
KitKat - Crisp Wafers,0,4,20,13,2,4,50,6,5,4,3,11,3,9,0,8,1,3,1,12,4,31,3,15,2,16,6,17,75,1,11,4,3,4,40,8,7,0,3,4,28,1,0,0,12,2,2,12,1,0,1,0,5,49,5,28,1,14,0,6,13,1,0,1,1,19,17,4,23,12,0,2,32,9,8,21
Quaker Cheddar Rice Crisps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CheezIt - Double Cheese,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,3
Munchies Snack mix Flaming Hot,0,0,3,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,2,0,2,7,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,1,1,5,0,0,0,2,1,3,0,1,0,1,2,0,0,0,0,2,1,1,4,0,0,0,2,0,1,0
Red Bull - Original,2,5,27,10,1,14,79,6,4,3,2,8,1,22,0,16,3,3,3,33,8,33,9,11,2,23,8,26,105,4,12,1,2,4,45,2,6,0,3,3,38,5,2,3,13,1,2,13,5,49,0,3,2,0,4,34,4,10,0,14,12,0,1,2,8,14,12,6,30,13,0,3,36,9,13,54
Snapple Lemonade - pineapple,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,4,0,4,0,0,5,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,1,4,0,3,0,4,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,3
Cheetos Flaming Hot Limon Crunchy,1,7,10,6,3,6,34,4,3,1,0,6,1,16,0,8,1,4,0,12,6,21,5,3,2,14,4,13,55,6,6,1,1,3,28,4,2,0,2,3,15,2,4,3,11,2,0,8,4,28,1,4,3,34,3,0,0,9,0,5,7,0,1,2,6,8,10,4,23,2,0,0,19,4,3,18
Miss Vickie's Potato Chip - Jalapeno,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,2,0
Fritos - Original,0,1,5,6,1,0,15,3,4,0,0,3,1,4,0,1,0,1,1,6,2,10,0,4,1,4,0,6,16,2,1,1,2,2,9,3,0,0,1,2,12,0,2,0,2,0,0,4,3,14,0,0,1,10,4,9,0,0,0,3,3,0,0,0,2,4,3,0,4,3,0,0,6,5,1,5
Pure Organic Fruit Bar - Pineapple Passion Fr,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SunChips Multigrain - Harvest Cheddar,0,2,5,0,1,0,13,11,0,2,0,1,0,12,0,1,2,0,2,11,1,7,5,8,0,7,5,5,19,0,0,0,1,0,0,0,0,0,0,2,6,1,0,2,2,0,0,0,0,6,0,0,1,14,3,5,0,3,0,0,0,0,0,1,6,0,0,0,9,2,0,0,8,3,3,15
Cheetos Cheddar Jalapeno,0,0,3,5,0,5,19,0,2,0,0,2,1,0,0,0,0,1,0,5,0,11,1,0,1,3,0,11,22,0,0,1,0,3,7,2,0,0,0,1,10,0,0,1,4,0,0,5,0,13,0,0,2,12,0,7,0,3,0,0,0,0,0,0,0,4,4,0,8,2,0,0,10,0,0,13
Spindrift - Sparkling Water  Lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pop Corners - White Cheddar,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chum Fruit Bites - Mango/Strawberry,0,1,2,2,2,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,4,1,0,1,0,0,4,1,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Cheetos Baked - Crunchy Cheese,0,3,1,0,0,1,5,0,0,1,0,1,0,8,1,0,1,0,0,6,5,7,2,0,0,6,0,6,10,0,0,0,0,0,0,0,0,3,0,0,6,0,2,1,1,0,0,0,0,1,0,1,0,8,0,6,0,2,1,6,0,0,0,0,0,0,0,0,8,3,0,0,5,1,0,7
Snapple Diet Tea - Peach Tea,0,1,5,7,1,2,15,0,3,0,1,1,1,2,0,4,0,2,0,0,0,6,2,0,0,1,0,3,25,1,6,1,0,4,18,3,2,0,0,2,4,1,0,0,0,1,1,3,1,19,0,0,2,14,0,8,2,4,0,0,4,0,0,1,0,0,11,3,2,0,0,1,6,2,4,0
Snapple Diet Tea - Lemon,2,0,2,5,1,0,14,0,2,0,2,1,2,1,0,5,0,2,0,0,0,7,0,0,2,1,0,6,24,3,1,2,0,3,16,4,2,0,1,1,6,0,0,0,0,2,0,3,2,17,1,0,1,12,0,10,0,3,0,0,4,0,0,0,0,11,0,1,1,0,0,1,10,3,5,0
Good Health Veggie Stix - Sea Salt,1,0,2,0,0,5,4,0,0,0,1,0,0,2,0,4,0,0,0,0,0,1,1,0,0,0,0,0,10,2,4,0,0,0,7,1,3,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,1,6,0,4,2,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,1,0,3,0
