WeekStartingSat,Location,Total,AvgPriceItemSold,Type_Drink,Type_Food,Category_Carbonated,Category_Non Carbonated,Category_Salty,Category_Sweet,Category_Water,HealthyMarketing_False,HealthyMarketing_True,Payment_Cash,Payment_Credit,DayOfWeek_Sat,DayOfWeek_Sun,DayOfWeek_Mon,DayOfWeek_Tue,DayOfWeek_Wed,DayOfWeek_Thu,DayOfWeek_Fri
3/12/22,Factory,104,1.793103448,0.210526316,0.789473684,0.210526316,0,0.50877193,0.280701754,0,0.859649123,0.140350877,0.754385965,0.245614035,0,0,0.105263158,0.263157895,0.350877193,0.175438596,0.105263158
3/19/22,Factory,48,1.714285714,0.107142857,0.892857143,0.107142857,0,0.607142857,0.285714286,0,0.535714286,0.464285714,0.571428571,0.428571429,0,0,0.107142857,0.142857143,0.178571429,0.178571429,0.392857143
3/26/22,Factory,112.5,1.5625,0.577464789,0.422535211,0.577464789,0,0.323943662,0.098591549,0,0.549295775,0.450704225,0.802816901,0.197183099,0.014084507,0,0.183098592,0.267605634,0.211267606,0.126760563,0.197183099
4/2/22,Factory,111,1.85,0.65,0.35,0.516666667,0.133333333,0.183333333,0.166666667,0,0.666666667,0.333333333,0.816666667,0.183333333,0.1,0,0.116666667,0.333333333,0.116666667,0.15,0.183333333
4/9/22,Factory,161.5,2.070512821,0.743589744,0.256410256,0.602564103,0.141025641,0.179487179,0.076923077,0,0.679487179,0.320512821,0.615384615,0.384615385,0.076923077,0,0.166666667,0.076923077,0.192307692,0.294871795,0.192307692
4/16/22,Factory,138,1.662650602,0.487804878,0.512195122,0.475609756,0.012195122,0.304878049,0.207317073,0,0.512195122,0.487804878,0.768292683,0.231707317,0.024390244,0,0.256097561,0.243902439,0.134146341,0.109756098,0.231707317
4/23/22,Factory,206.25,1.858108108,0.567567568,0.432432432,0.522522523,0.045045045,0.324324324,0.108108108,0,0.666666667,0.333333333,0.756756757,0.243243243,0.189189189,0.018018018,0.09009009,0.081081081,0.144144144,0.225225225,0.252252252
4/30/22,Factory,125.75,1.849264706,0.397058824,0.602941176,0.220588235,0.176470588,0.323529412,0.279411765,0,0.588235294,0.411764706,0.691176471,0.308823529,0.073529412,0,0.264705882,0.147058824,0.294117647,0.176470588,0.044117647
5/7/22,Factory,34.75,1.654761905,0.285714286,0.714285714,0.285714286,0,0.333333333,0.380952381,0,0.476190476,0.523809524,0.761904762,0.238095238,0,0,0.095238095,0.238095238,0.047619048,0.047619048,0.571428571
5/14/22,Factory,200.5,1.90952381,0.523809524,0.476190476,0.476190476,0.047619048,0.257142857,0.219047619,0,0.742857143,0.257142857,0.695238095,0.304761905,0.057142857,0,0.114285714,0.247619048,0.247619048,0.180952381,0.152380952
5/21/22,Factory,120.5,2.042372881,0.534482759,0.465517241,0.396551724,0.137931034,0.224137931,0.24137931,0,0.706896552,0.293103448,0.637931034,0.362068966,0.137931034,0,0.206896552,0.224137931,0.224137931,0.120689655,0.086206897
5/28/22,Factory,106.5,2.173469388,0.551020408,0.448979592,0.244897959,0.306122449,0.285714286,0.163265306,0,0.653061224,0.346938776,0.734693878,0.265306122,0.102040816,0,0,0.224489796,0.142857143,0.306122449,0.224489796
6/4/22,Factory,139,2.044117647,0.432835821,0.567164179,0.343283582,0.089552239,0.432835821,0.134328358,0,0.776119403,0.223880597,0.71641791,0.28358209,0.014925373,0,0.23880597,0.164179104,0.149253731,0.253731343,0.179104478
6/11/22,Factory,143,2.166666667,0.590909091,0.409090909,0.515151515,0.075757576,0.212121212,0.196969697,0,0.833333333,0.166666667,0.787878788,0.212121212,0.136363636,0.045454545,0.166666667,0.121212121,0.287878788,0.136363636,0.106060606
6/18/22,Factory,116,1.966101695,0.551724138,0.448275862,0.413793103,0.137931034,0.275862069,0.172413793,0,0.706896552,0.293103448,0.793103448,0.206896552,0.051724138,0,0.034482759,0.172413793,0.189655172,0.362068966,0.189655172
6/25/22,Factory,202.5,2.025,0.56122449,0.43877551,0.520408163,0.040816327,0.295918367,0.142857143,0,0.928571429,0.071428571,0.775510204,0.224489796,0.081632653,0,0.214285714,0.132653061,0.142857143,0.081632653,0.346938776
7/2/22,Factory,145.5,2.020833333,0.583333333,0.416666667,0.347222222,0.236111111,0.25,0.166666667,0,0.916666667,0.083333333,0.888888889,0.111111111,0.180555556,0.013888889,0,0.166666667,0.236111111,0.194444444,0.208333333
7/9/22,Factory,226.5,1.986842105,0.491071429,0.508928571,0.375,0.116071429,0.348214286,0.160714286,0,0.883928571,0.116071429,0.803571429,0.196428571,0.089285714,0,0.178571429,0.160714286,0.232142857,0.214285714,0.125
7/16/22,Factory,230,2.03539823,0.504424779,0.495575221,0.389380531,0.115044248,0.265486726,0.230088496,0,0.867256637,0.132743363,0.805309735,0.194690265,0.203539823,0,0.159292035,0.247787611,0.097345133,0.168141593,0.123893805
7/23/22,Factory,228,1.982608696,0.616071429,0.383928571,0.508928571,0.107142857,0.294642857,0.089285714,0,0.928571429,0.071428571,0.803571429,0.196428571,0.080357143,0,0.169642857,0.1875,0.205357143,0.196428571,0.160714286
7/30/22,Factory,215,2.15,0.701030928,0.298969072,0.556701031,0.144329897,0.18556701,0.113402062,0,0.948453608,0.051546392,0.804123711,0.195876289,0.020618557,0,0.12371134,0.092783505,0.195876289,0.257731959,0.309278351
8/6/22,Factory,240.5,1.955284553,0.467213115,0.532786885,0.327868852,0.139344262,0.352459016,0.180327869,0,0.754098361,0.245901639,0.672131148,0.327868852,0.049180328,0,0.172131148,0.213114754,0.229508197,0.237704918,0.098360656
8/13/22,Factory,130.5,1.919117647,0.507462687,0.492537313,0.492537313,0.014925373,0.373134328,0.119402985,0,0.865671642,0.134328358,0.895522388,0.104477612,0.029850746,0,0.089552239,0.044776119,0.119402985,0.388059701,0.328358209
8/20/22,Factory,165,2.012195122,0.524390244,0.475609756,0.402439024,0.12195122,0.280487805,0.195121951,0,0.841463415,0.158536585,0.768292683,0.231707317,0,0,0.134146341,0.170731707,0.280487805,0.195121951,0.219512195
8/27/22,Factory,62.5,1.602564103,0.078947368,0.921052632,0,0.078947368,0.710526316,0.210526316,0,0.631578947,0.368421053,0.868421053,0.131578947,0.052631579,0,0.263157895,0.342105263,0.131578947,0.210526316,0
9/3/22,Factory,142,1.893333333,0.698630137,0.301369863,0.616438356,0.082191781,0.232876712,0.068493151,0,0.917808219,0.082191781,0.753424658,0.246575342,0,0,0,0.150684932,0.232876712,0.287671233,0.328767123
9/10/22,Factory,194.5,2.069148936,0.489361702,0.510638298,0.308510638,0.180851064,0.361702128,0.14893617,0,0.776595745,0.223404255,0.808510638,0.191489362,0.053191489,0,0.159574468,0.29787234,0.127659574,0.191489362,0.170212766
9/17/22,Factory,114,2,0.350877193,0.649122807,0.263157895,0.087719298,0.596491228,0.052631579,0,0.789473684,0.210526316,0.877192982,0.122807018,0,0,0.140350877,0.210526316,0.245614035,0.280701754,0.122807018
9/24/22,Factory,126,1.880597015,0.343283582,0.656716418,0.223880597,0.119402985,0.537313433,0.119402985,0,0.820895522,0.179104478,0.641791045,0.358208955,0,0,0.134328358,0.089552239,0.179104478,0.268656716,0.328358209
10/1/22,Factory,148.5,2.091549296,0.647887324,0.352112676,0.535211268,0.112676056,0.309859155,0.042253521,0,0.774647887,0.225352113,0.830985915,0.169014085,0,0,0.169014085,0.23943662,0.366197183,0.225352113,0
10/8/22,Factory,61,1.90625,0.5,0.5,0.28125,0.21875,0.40625,0.09375,0,0.6875,0.3125,0.78125,0.21875,0,0,0.25,0.125,0.25,0.125,0.25
10/15/22,Factory,118,2,0.508474576,0.491525424,0.423728814,0.084745763,0.372881356,0.118644068,0,0.745762712,0.254237288,0.86440678,0.13559322,0.084745763,0,0.13559322,0.033898305,0.288135593,0.152542373,0.305084746
10/22/22,Factory,143.5,1.863636364,0.447368421,0.552631579,0.421052632,0.026315789,0.315789474,0.236842105,0,0.644736842,0.355263158,0.789473684,0.210526316,0.039473684,0,0.144736842,0.210526316,0.25,0.171052632,0.184210526
10/29/22,Factory,176,1.852631579,0.673684211,0.326315789,0.557894737,0.115789474,0.252631579,0.073684211,0,0.884210526,0.115789474,0.852631579,0.147368421,0.031578947,0,0.221052632,0.168421053,0.2,0.168421053,0.210526316
11/5/22,Factory,152,1.974025974,0.636363636,0.363636364,0.480519481,0.155844156,0.285714286,0.077922078,0,0.896103896,0.103896104,0.896103896,0.103896104,0.038961039,0,0.207792208,0.168831169,0.233766234,0.233766234,0.116883117
11/12/22,Factory,75,1.973684211,0.578947368,0.421052632,0.394736842,0.184210526,0.368421053,0.052631579,0,0.947368421,0.052631579,0.815789474,0.184210526,0,0,0.157894737,0.105263158,0.078947368,0.184210526,0.473684211
11/19/22,Factory,120.5,1.975409836,0.68852459,0.31147541,0.639344262,0.049180328,0.229508197,0.081967213,0,0.918032787,0.081967213,0.868852459,0.131147541,0.131147541,0,0.163934426,0.278688525,0.393442623,0,0.032786885
11/26/22,Factory,118,1.84375,0.609375,0.390625,0.59375,0.015625,0.296875,0.09375,0,0.90625,0.09375,0.84375,0.15625,0,0,0.203125,0.171875,0.25,0.265625,0.109375
12/3/22,Factory,123.5,2.205357143,0.654545455,0.345454545,0.472727273,0.181818182,0.2,0.145454545,0,0.836363636,0.163636364,0.745454545,0.254545455,0.036363636,0,0.236363636,0.254545455,0.127272727,0.2,0.145454545
12/10/22,Factory,90,2.045454545,0.418604651,0.581395349,0.186046512,0.23255814,0.348837209,0.23255814,0,0.720930233,0.279069767,0.88372093,0.11627907,0.069767442,0,0.069767442,0.139534884,0.255813953,0.162790698,0.302325581
12/17/22,Factory,103,1.716666667,0.216666667,0.783333333,0,0.216666667,0.666666667,0.116666667,0,0.833333333,0.166666667,0.85,0.15,0,0,0.083333333,0.15,0.15,0.35,0.266666667
12/24/22,Factory,63.5,1.5875,0.15,0.85,0.15,0,0.5,0.35,0,0.45,0.55,0.95,0.05,0.1,0,0,0.15,0.25,0.175,0.325
12/31/22,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
1/7/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
1/14/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
1/21/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
1/28/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
2/4/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
2/11/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
2/18/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
2/25/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
3/4/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
3/11/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
3/18/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
3/25/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
4/1/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
4/8/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
4/15/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
4/22/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
4/29/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
5/6/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
5/13/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
5/20/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
5/27/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
6/3/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
6/10/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
6/17/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
6/24/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
7/1/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
7/8/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
7/15/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
7/22/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
7/29/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
8/5/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
8/12/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
8/19/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
8/26/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
9/2/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
9/9/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
9/16/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
9/23/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
9/30/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
10/7/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
10/14/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
10/21/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
10/28/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
11/4/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
11/11/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
11/18/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
11/25/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
12/2/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
12/9/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
12/16/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
12/23/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
12/30/23,Factory,,1.886611148,0.497241929,0.502758071,0.400229422,0.097012507,0.338249827,0.164508244,0,0.742862505,0.257137495,0.789346214,0.210653786,0.058140063,0.00148772,0.145592382,0.182739059,0.195926094,0.205835363,0.21027932
1/1/22,Library,,,,,,,,,,,,,,,,,,,,
1/8/22,Library,,,,,,,,,,,,,,,,,,,,
1/15/22,Library,,,,,,,,,,,,,,,,,,,,
1/22/22,Library,,,,,,,,,,,,,,,,,,,,
1/29/22,Library,,,,,,,,,,,,,,,,,,,,
2/5/22,Library,,,,,,,,,,,,,,,,,,,,
2/12/22,Library,,,,,,,,,,,,,,,,,,,,
2/19/22,Library,,,,,,,,,,,,,,,,,,,,
2/26/22,Library,,,,,,,,,,,,,,,,,,,,
3/5/22,Library,,,,,,,,,,,,,,,,,,,,
3/12/22,Library,51.5,1.661290323,0.387096774,0.612903226,0.290322581,0.096774194,0.451612903,0.161290323,0,0.483870968,0.516129032,0.548387097,0.451612903,0,0,0.064516129,0.161290323,0.290322581,0.193548387,0.290322581
3/19/22,Library,115.75,1.961864407,0.406779661,0.593220339,0.13559322,0.271186441,0.423728814,0.169491525,0,0.508474576,0.491525424,0.677966102,0.322033898,0.118644068,0.152542373,0.186440678,0.237288136,0.050847458,0.152542373,0.101694915
3/26/22,Library,80.25,1.86627907,0.488372093,0.511627907,0.209302326,0.186046512,0.325581395,0.23255814,0.046511628,0.209302326,0.790697674,0.534883721,0.465116279,0.069767442,0.069767442,0.162790698,0.093023256,0.302325581,0.186046512,0.11627907
4/2/22,Library,190.5,1.867647059,0.44,0.56,0.15,0.17,0.34,0.26,0.08,0.24,0.76,0.57,0.43,0.2,0.08,0.25,0.15,0.13,0.16,0.03
4/9/22,Library,120,1.875,0.34375,0.65625,0.09375,0.109375,0.25,0.4375,0.109375,0.203125,0.796875,0.59375,0.40625,0.09375,0.03125,0.15625,0.3125,0.21875,0.1875,0
4/16/22,Library,104,1.704918033,0.409836066,0.590163934,0.180327869,0.06557377,0.360655738,0.245901639,0.147540984,0.196721311,0.803278689,0.508196721,0.491803279,0.06557377,0,0.245901639,0.114754098,0.278688525,0.229508197,0.06557377
4/23/22,Library,156,1.902439024,0.4125,0.5875,0.1,0.1875,0.325,0.2875,0.1,0.4125,0.5875,0.6375,0.3625,0.05,0,0.2375,0.0875,0.3625,0.0875,0.175
4/30/22,Library,210.5,1.931192661,0.403669725,0.596330275,0.183486239,0.155963303,0.302752294,0.302752294,0.055045872,0.302752294,0.697247706,0.532110092,0.467889908,0.146788991,0.128440367,0.110091743,0.201834862,0.128440367,0.211009174,0.073394495
